### Level-3 GRACE/GRACE-FO M-SSA solution of surface mass density anomalies, expressed in Equivalent Water Height (EWH)
# Solution processed following the method proposed by Gauer et al. , in revision for Journal of Geophysical Research - Solid Earth, 2023
# Combined solution computed using Level-2 GRACE/GRACE-FO gravity fields provided by the CSR, GFZ, ITSG TU-GRAZ and JPL processing centers
# Period : 2003-01 to 2022-09
# Units: EWH [cm]
# 
# Stokes coefficients C1.0, C1.1 and S1.1 have been added following TN-13
# Stokes coefficient C2.0 has been replaced following TN-14
# Stokes coefficient C3.0 has been replaced following TN-14  for the 2012-03 to 2022-09 period
# TN are provided here : https://podaac-tools.jpl.nasa.gov/drive/files/allData/gracefo/docs/
# 
lon;lat;EWH
1.0;-17.0;0.5231434990545344
1.0;-16.0;0.6173607203139795
1.0;-15.0;0.542191938661261
1.0;-14.0;0.5061149554984906
1.0;-13.0;0.45239463503877175
1.0;-12.0;0.13589111088422212
1.0;-11.0;0.16185128031953236
1.0;-10.0;0.12327405283076356
1.0;-9.0;0.4526520164950579
1.0;-8.0;0.4983972518249357
1.0;-7.0;0.23052082610833277
1.0;-6.0;0.14669853974531616
1.0;-5.0;0.2266675971297324
1.0;-4.0;0.17880125407901046
1.0;-3.0;0.08521068650711174
1.0;-2.0;0.16245341136007932
1.0;-1.0;0.30122768819431406
1.0;0.0;0.2809689756209842
1.0;1.0;0.16006811755863196
1.0;2.0;0.4188995574131102
1.0;3.0;0.3194616930557336
1.0;4.0;0.2048707824838322
1.0;5.0;-0.1106638993900237
1.0;6.0;-0.6159844992375161
1.0;7.0;-1.3075324057962494
1.0;8.0;-1.806232679698023
1.0;9.0;-1.5136582125964595
1.0;10.0;-0.7478103494427395
1.0;11.0;0.2811808534125427
1.0;12.0;0.8470660707016973
1.0;13.0;1.4382308633069085
1.0;14.0;1.5071144030966412
1.0;15.0;0.9662309074518017
1.0;16.0;0.23538897811995382
1.0;17.0;0.08025120375683607
1.0;18.0;0.09259407794222567
1.0;19.0;0.10596888715966042
1.0;20.0;0.09238221239376657
1.0;21.0;0.1177780723906717
1.0;22.0;0.1034290437348727
1.0;23.0;0.12716984899279235
1.0;24.0;0.14160411918813556
1.0;25.0;0.16732440010289593
1.0;26.0;0.3325870766999881
1.0;27.0;0.22113278630826536
1.0;28.0;0.04735099741961903
1.0;29.0;0.1880029396843697
1.0;30.0;0.2878566381286959
1.0;31.0;0.39186466271444226
1.0;32.0;0.48713523887538973
1.0;33.0;0.41816483277470107
1.0;34.0;0.4731895575099415
1.0;35.0;0.2560412875149276
1.0;36.0;0.02290986799903101
1.0;37.0;0.05589984259920801
1.0;38.0;0.019243592704601558
1.0;39.0;0.07552168997972267
1.0;40.0;0.2606777386059788
1.0;41.0;0.24314594902334324
1.0;42.0;0.26233909862320465
1.0;43.0;0.1856005953399864
1.0;44.0;0.13692515921086124
1.0;45.0;0.06876969609244697
1.0;46.0;0.043446213404148365
1.0;47.0;0.09205238456497725
1.0;48.0;0.14749030917693096
1.0;49.0;0.3028641273559357
1.0;50.0;0.12911149138741873
1.0;51.0;-0.12481204193183623
1.0;52.0;-0.3312225408496333
1.0;53.0;-0.14849072362879692
1.0;54.0;-0.09803800269179136
1.0;55.0;-0.22106663559102044
1.0;56.0;-0.20742123940022958
1.0;57.0;-0.19425042444150453
1.0;58.0;-0.15420306427479027
1.0;59.0;-0.08019774497047227
1.0;60.0;-0.3101937010955576
1.0;61.0;-0.22804038332803178
1.0;62.0;-0.03558844584212954
1.0;63.0;0.060376699354337364
1.0;64.0;0.16363486612748523
1.0;65.0;0.25206595252891895
1.0;66.0;0.34191932087607213
1.0;67.0;0.45505399813862935
1.0;68.0;0.626983472736555
1.0;69.0;0.7694689553580719
1.0;70.0;0.744589960147353
1.0;71.0;0.6783960038195802
1.0;72.0;0.5706651117395567
1.0;73.0;0.483124911433906
1.0;74.0;0.535087861110683
1.0;75.0;0.615062237936842
1.0;76.0;0.9719720412108083
1.0;77.0;1.2339173349397639
1.0;78.0;1.1584281211989285
1.0;79.0;0.9148919666827281
1.0;80.0;0.9565126170308088
1.0;81.0;1.1074943348330375
1.0;82.0;1.0330797608049826
1.0;83.0;0.957247213348448
1.0;84.0;0.7136705829975695
1.0;85.0;0.36176083769502887
1.0;86.0;0.3452952691121243
1.0;87.0;0.46211488748711144
1.0;88.0;0.5944060105887328
1.0;89.0;0.3487895499818464
1.0;90.0;0.17160237373438064
2.0;-90.0;0.47858053859417105
2.0;-89.0;0.37614672271790806
2.0;-88.0;0.35715247568028896
2.0;-87.0;0.5917297071194715
2.0;-86.0;0.8805132510151519
2.0;-85.0;0.9736756282528823
2.0;-84.0;0.9677398971838975
2.0;-83.0;1.0658482203034831
2.0;-82.0;1.0097247034462904
2.0;-81.0;1.035449237411151
2.0;-80.0;1.1043907424575286
2.0;-79.0;1.0344873610990153
2.0;-78.0;0.8693678299327614
2.0;-77.0;0.5114362967686642
2.0;-76.0;0.3841472905440623
2.0;-75.0;1.0098912098876722
2.0;-74.0;2.7804697900863515
2.0;-73.0;4.881761127876442
2.0;-72.0;5.930701164300994
2.0;-71.0;5.0503059000079515
2.0;-70.0;2.876519394972715
2.0;-69.0;0.8981530580331132
2.0;-68.0;-0.02784538108424384
2.0;-67.0;0.1494015764867466
2.0;-66.0;0.627541372749904
2.0;-65.0;0.7135485860906525
2.0;-64.0;0.5292816803595398
2.0;-63.0;0.29999288560795306
2.0;-62.0;0.18706255989914475
2.0;-61.0;0.320542048463631
2.0;-60.0;0.4504814156265943
2.0;-59.0;0.570866582536211
2.0;-58.0;0.6222165624078497
2.0;-57.0;0.604865608010444
2.0;-56.0;0.4900065522594735
2.0;-55.0;0.48685699651527536
2.0;-54.0;0.6202735724589525
2.0;-53.0;0.6806406594552239
2.0;-52.0;0.6144457240043752
2.0;-51.0;0.5018658963262933
2.0;-50.0;0.5343761149269509
2.0;-49.0;0.6093884569167358
2.0;-48.0;0.4552965882146751
