#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1902.40    0.093368    0.016867    0.205095    0.018734  99.9900000  99.9900000    0.255885    0.000000    0.013502    0.000000
   1902.45    0.150632    0.017299    0.166550    0.018512  99.9900000  99.9900000    0.253883    0.000000    0.014329    0.000000
   1902.50    0.192457    0.017216    0.126472    0.018425  99.9900000  99.9900000    0.250851    0.000000    0.014713    0.000000
   1902.55    0.205535    0.018393    0.077269    0.018481  99.9900000  99.9900000    0.248240    0.000000    0.014710    0.000000
   1902.60    0.199879    0.019685    0.028341    0.019204  99.9900000  99.9900000    0.245298    0.000000    0.014710    0.000000
   1902.65    0.171495    0.019640   -0.005918    0.016473  99.9900000  99.9900000    0.244078    0.000000    0.014803    0.000000
   1902.70    0.157289    0.018019   -0.046210    0.019235  99.9900000  99.9900000    0.243503    0.000000    0.014733    0.000000
   1902.75    0.085589    0.020992   -0.091048    0.022621  99.9900000  99.9900000    0.244088    0.000000    0.015543    0.000000
   1902.80    0.034259    0.018245   -0.108951    0.016402  99.9900000  99.9900000    0.245612    0.000000    0.015760    0.000000
   1902.85   -0.023217    0.019349   -0.094539    0.020118  99.9900000  99.9900000    0.248134    0.000000    0.016478    0.000000
   1902.90   -0.068773    0.023284   -0.091346    0.020618  99.9900000  99.9900000    0.248844    0.000000    0.017394    0.000000
   1902.95   -0.132439    0.023712   -0.035288    0.023616  99.9900000  99.9900000    0.250200    0.000000    0.018154    0.000000
   1903.00   -0.185202    0.023739    0.006091    0.023274  99.9900000  99.9900000    0.250340    0.000000    0.018100    0.000000
   1903.05   -0.222628    0.024843    0.044155    0.022839  99.9900000  99.9900000    0.249936    0.000000    0.018224    0.000000
   1903.10   -0.234208    0.019915    0.065871    0.021461  99.9900000  99.9900000    0.249733    0.000000    0.017623    0.000000
   1903.15   -0.212113    0.022848    0.129971    0.023476  99.9900000  99.9900000    0.250178    0.000000    0.016414    0.000000
   1903.20   -0.175192    0.023818    0.192063    0.022818  99.9900000  99.9900000    0.250687    0.000000    0.015273    0.000000
   1903.25   -0.171286    0.020151    0.183895    0.020686  99.9900000  99.9900000    0.251303    0.000000    0.014422    0.000000
   1903.30   -0.138004    0.021339    0.226362    0.018845  99.9900000  99.9900000    0.251880    0.000000    0.013748    0.000000
   1903.35   -0.049075    0.019379    0.282006    0.017311  99.9900000  99.9900000    0.251655    0.000000    0.013940    0.000000
   1903.40    0.001289    0.019149    0.249503    0.021018  99.9900000  99.9900000    0.250114    0.000000    0.013573    0.000000
   1903.45    0.052759    0.018422    0.270678    0.019675  99.9900000  99.9900000    0.248069    0.000000    0.013785    0.000000
   1903.50    0.081315    0.016139    0.254431    0.017308  99.9900000  99.9900000    0.244856    0.000000    0.014410    0.000000
   1903.55    0.148575    0.017923    0.236586    0.018799  99.9900000  99.9900000    0.241534    0.000000    0.014467    0.000000
   1903.60    0.183178    0.015992    0.188961    0.018211  99.9900000  99.9900000    0.239591    0.000000    0.014642    0.000000
   1903.65    0.219356    0.015086    0.104068    0.017662  99.9900000  99.9900000    0.237146    0.000000    0.014854    0.000000
   1903.70    0.213312    0.020299    0.081479    0.021653  99.9900000  99.9900000    0.236906    0.000000    0.014642    0.000000
   1903.75    0.185008    0.018181   -0.008872    0.021910  99.9900000  99.9900000    0.238261    0.000000    0.014763    0.000000
   1903.80    0.148809    0.021926   -0.061869    0.017128  99.9900000  99.9900000    0.239356    0.000000    0.015993    0.000000
   1903.85    0.127507    0.024644   -0.108026    0.022886  99.9900000  99.9900000    0.241287    0.000000    0.016540    0.000000
   1903.90    0.089290    0.027676   -0.098452    0.021124  99.9900000  99.9900000    0.243467    0.000000    0.017307    0.000000
   1903.95    0.011735    0.029403   -0.093764    0.023479  99.9900000  99.9900000    0.243380    0.000000    0.018197    0.000000
   1904.00   -0.076538    0.029465   -0.075314    0.026064  99.9900000  99.9900000    0.243821    0.000000    0.018652    0.000000
   1904.05   -0.134495    0.026089   -0.079089    0.023426  99.9900000  99.9900000    0.244006    0.000000    0.018345    0.000000
   1904.10   -0.172245    0.024183   -0.026526    0.021364  99.9900000  99.9900000    0.243536    0.000000    0.018187    0.000000
   1904.15   -0.193161    0.031528    0.021542    0.032850  99.9900000  99.9900000    0.243812    0.000000    0.016893    0.000000
   1904.20   -0.219831    0.022235    0.005869    0.028885  99.9900000  99.9900000    0.244539    0.000000    0.015876    0.000000
   1904.25   -0.202024    0.023390    0.077011    0.021591  99.9900000  99.9900000    0.244946    0.000000    0.014949    0.000000
   1904.30   -0.184641    0.031990    0.127930    0.024818  99.9900000  99.9900000    0.245073    0.000000    0.014178    0.000000
   1904.35   -0.159038    0.019052    0.153521    0.021059  99.9900000  99.9900000    0.245155    0.000000    0.013770    0.000000
   1904.40   -0.120112    0.022931    0.233686    0.021686  99.9900000  99.9900000    0.244013    0.000000    0.014755    0.000000
   1904.45   -0.057915    0.017000    0.243991    0.017525  99.9900000  99.9900000    0.241554    0.000000    0.014413    0.000000
   1904.50    0.000663    0.015362    0.249472    0.016865  99.9900000  99.9900000    0.238924    0.000000    0.014654    0.000000
   1904.55    0.064127    0.017529    0.250051    0.019406  99.9900000  99.9900000    0.235455    0.000000    0.015007    0.000000
   1904.60    0.100760    0.013996    0.206088    0.016494  99.9900000  99.9900000    0.232227    0.000000    0.015023    0.000000
   1904.65    0.123784    0.014812    0.177187    0.014584  99.9900000  99.9900000    0.231629    0.000000    0.015068    0.000000
   1904.70    0.156435    0.016342    0.139202    0.016714  99.9900000  99.9900000    0.230214    0.000000    0.015713    0.000000
   1904.75    0.167457    0.020981    0.118580    0.021580  99.9900000  99.9900000    0.231146    0.000000    0.015418    0.000000
   1904.80    0.155261    0.019602    0.071099    0.018013  99.9900000  99.9900000    0.233364    0.000000    0.015992    0.000000
   1904.85    0.148942    0.021607    0.033451    0.018514  99.9900000  99.9900000    0.234806    0.000000    0.017457    0.000000
   1904.90    0.107776    0.028147    0.024389    0.025404  99.9900000  99.9900000    0.236326    0.000000    0.018073    0.000000
   1904.95    0.118698    0.026884   -0.006871    0.026262  99.9900000  99.9900000    0.237450    0.000000    0.018605    0.000000
   1905.00    0.064361    0.022413   -0.053590    0.025720  99.9900000  99.9900000    0.237418    0.000000    0.019336    0.000000
   1905.05    0.009198    0.024033   -0.103046    0.026638  99.9900000  99.9900000    0.237127    0.000000    0.019297    0.000000
   1905.10   -0.031125    0.026424   -0.117576    0.022504  99.9900000  99.9900000    0.237499    0.000000    0.018419    0.000000
   1905.15   -0.080032    0.027293   -0.055234    0.023467  99.9900000  99.9900000    0.237449    0.000000    0.017756    0.000000
