#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1907.30    0.037466    0.017414   -0.010213    0.018282  99.9900000  99.9900000   -0.091664    0.000000   -0.019143    0.000000
   1907.35   -0.004540    0.016075   -0.015769    0.017201  99.9900000  99.9900000   -0.091549    0.000000   -0.018988    0.000000
   1907.40   -0.018273    0.016877   -0.015173    0.016663  99.9900000  99.9900000   -0.091109    0.000000   -0.018999    0.000000
   1907.45   -0.007141    0.015864   -0.040961    0.017096  99.9900000  99.9900000   -0.090398    0.000000   -0.019316    0.000000
   1907.50   -0.041843    0.014405   -0.054269    0.013671  99.9900000  99.9900000   -0.089273    0.000000   -0.019480    0.000000
   1907.55   -0.039598    0.013423   -0.066694    0.013739  99.9900000  99.9900000   -0.087943    0.000000   -0.019432    0.000000
   1907.60   -0.062703    0.013804   -0.045599    0.013720  99.9900000  99.9900000   -0.087113    0.000000   -0.019362    0.000000
   1907.65   -0.084806    0.012081   -0.037981    0.012721  99.9900000  99.9900000   -0.086469    0.000000   -0.019655    0.000000
   1907.70   -0.117703    0.012937   -0.015019    0.013833  99.9900000  99.9900000   -0.086487    0.000000   -0.019790    0.000000
   1907.75   -0.156776    0.015289    0.021300    0.013670  99.9900000  99.9900000   -0.086904    0.000000   -0.020515    0.000000
   1907.80   -0.189022    0.018050    0.063250    0.014975  99.9900000  99.9900000   -0.087564    0.000000   -0.021193    0.000000
   1907.85   -0.160469    0.019450    0.122356    0.020616  99.9900000  99.9900000   -0.088267    0.000000   -0.022251    0.000000
   1907.90   -0.174352    0.021263    0.161462    0.016968  99.9900000  99.9900000   -0.088822    0.000000   -0.023026    0.000000
   1907.95   -0.175601    0.024544    0.206627    0.023983  99.9900000  99.9900000   -0.089135    0.000000   -0.023635    0.000000
   1908.00   -0.097354    0.020961    0.248599    0.019243  99.9900000  99.9900000   -0.089362    0.000000   -0.023832    0.000000
   1908.05   -0.103266    0.023340    0.239529    0.021687  99.9900000  99.9900000   -0.089595    0.000000   -0.023785    0.000000
   1908.10   -0.059144    0.021130    0.273688    0.020813  99.9900000  99.9900000   -0.089724    0.000000   -0.023298    0.000000
   1908.15    0.009730    0.021141    0.247674    0.016433  99.9900000  99.9900000   -0.089896    0.000000   -0.022374    0.000000
   1908.20    0.090256    0.026742    0.235713    0.018505  99.9900000  99.9900000   -0.090285    0.000000   -0.021387    0.000000
   1908.25    0.080876    0.018237    0.218247    0.021371  99.9900000  99.9900000   -0.090601    0.000000   -0.020681    0.000000
   1908.30    0.155752    0.018792    0.162110    0.016714  99.9900000  99.9900000   -0.090849    0.000000   -0.020151    0.000000
   1908.35    0.153094    0.016737    0.112487    0.018825  99.9900000  99.9900000   -0.090777    0.000000   -0.019930    0.000000
   1908.40    0.174001    0.016324    0.039769    0.016378  99.9900000  99.9900000   -0.090373    0.000000   -0.019945    0.000000
   1908.45    0.193452    0.015329    0.020757    0.015658  99.9900000  99.9900000   -0.089538    0.000000   -0.020145    0.000000
   1908.50    0.183438    0.014044   -0.054420    0.015259  99.9900000  99.9900000   -0.088394    0.000000   -0.020209    0.000000
   1908.55    0.151229    0.015400   -0.109334    0.015739  99.9900000  99.9900000   -0.087304    0.000000   -0.020166    0.000000
