LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_1,ocean_mean_trend_step_2,ocean_mean_trend_step_3,ocean_mean_trend_step_4,ocean_mean_trend_step_5
False,mean,False,upper,,,PREM,MSSA,0.1,0.26,short-term,1.970531,2.044425,2.347775,2.456507,2.562274
True,mean,False,upper,,,PREM,GFZ,0.1,0.26,short-term,1.886454,1.960044,2.204535,2.240289,2.507813
True,mean,False,upper,,,PREM,JPL,0.1,0.26,short-term,1.95515,2.02874,2.282054,2.328229,2.598223
True,mean,False,upper,,,PREM,CSR,0.1,0.26,short-term,1.886291,1.959881,2.20944,2.255781,2.528844
True,mean,False,upper,,,PREM,MSSA,0.1,0.26,short-term,1.97753,2.051119,2.349014,2.455695,2.55886
False,mean,False,mean,,,PREM,GFZ,0.2,0.26,short-term,1.865566,1.939815,2.136402,2.165428,2.447182
False,mean,False,mean,,,PREM,JPL,0.2,0.26,short-term,1.933507,2.007755,2.21311,2.249341,2.534084
False,mean,False,mean,,,PREM,CSR,0.2,0.26,short-term,1.865404,1.939653,2.140902,2.180093,2.468748
False,mean,False,mean,,,PREM,MSSA,0.2,0.26,short-term,1.955641,2.02989,2.266301,2.36527,2.496875
True,mean,False,mean,,,PREM,GFZ,0.2,0.26,short-term,1.873194,1.947142,2.141871,2.169915,2.451798
True,mean,False,mean,,,PREM,JPL,0.2,0.26,short-term,1.941407,2.015354,2.218756,2.254092,2.538383
True,mean,False,mean,,,PREM,CSR,0.2,0.26,short-term,1.873032,1.946979,2.146346,2.184312,2.472792
True,mean,False,mean,,,PREM,MSSA,0.2,0.26,short-term,1.963629,2.037577,2.271818,2.369202,2.50006
False,mean,False,lower,,,PREM,GFZ,0.2,0.26,short-term,1.848995,1.923243,2.1322,2.164821,2.448889
False,mean,False,lower,,,PREM,JPL,0.2,0.26,short-term,1.916332,1.990581,2.208727,2.248802,2.535388
False,mean,False,lower,,,PREM,CSR,0.2,0.26,short-term,1.848834,1.923083,2.136987,2.180136,2.471438
False,mean,False,lower,,,PREM,MSSA,0.2,0.26,short-term,1.93827,2.012519,2.263724,2.366351,2.500186
True,mean,False,lower,,,PREM,GFZ,0.2,0.26,short-term,1.85713,1.931077,2.138154,2.169701,2.453355
True,mean,False,lower,,,PREM,JPL,0.2,0.26,short-term,1.924758,1.998705,2.214881,2.254016,2.540577
True,mean,False,lower,,,PREM,CSR,0.2,0.26,short-term,1.856969,1.930917,2.142897,2.185061,2.475974
True,mean,False,lower,,,PREM,MSSA,0.2,0.26,short-term,1.94679,2.020737,2.269656,2.371019,2.504929
False,mean,False,upper,,,PREM,GFZ,0.2,0.26,short-term,1.879769,1.954018,2.138846,2.164257,2.44302
False,mean,False,upper,,,PREM,JPL,0.2,0.26,short-term,1.948227,2.022476,2.215673,2.248091,2.529942
False,mean,False,upper,,,PREM,CSR,0.2,0.26,short-term,1.879606,1.953855,2.143112,2.178423,2.464255
False,mean,False,upper,,,PREM,MSSA,0.2,0.26,short-term,1.970531,2.044779,2.267193,2.36199,2.490294
True,mean,False,upper,,,PREM,GFZ,0.2,0.26,short-term,1.886454,1.960402,2.143422,2.167691,2.445866
True,mean,False,upper,,,PREM,JPL,0.2,0.26,short-term,1.95515,2.029098,2.220372,2.252102,2.533496
True,mean,False,upper,,,PREM,CSR,0.2,0.26,short-term,1.886291,1.960239,2.147615,2.182192,2.467622
True,mean,False,upper,,,PREM,MSSA,0.2,0.26,short-term,1.97753,2.051477,2.271748,2.365188,2.491819
False,mean,False,mean,,,QL6,GFZ,0.15,0.26,short-term,1.865566,1.936752,2.143572,2.167364,2.433976
False,mean,False,mean,,,QL6,JPL,0.15,0.26,short-term,1.933507,2.004693,2.219293,2.252688,2.52256
False,mean,False,mean,,,QL6,CSR,0.15,0.26,short-term,1.865404,1.93659,2.147852,2.181269,2.453273
False,mean,False,mean,,,QL6,MSSA,0.15,0.26,short-term,1.955641,2.026827,2.278273,2.373877,2.48175
True,mean,False,mean,,,QL6,GFZ,0.15,0.26,short-term,1.873194,1.944098,2.147989,2.170447,2.436242
True,mean,False,mean,,,QL6,JPL,0.15,0.26,short-term,1.941407,2.012311,2.223834,2.255517,2.523977
True,mean,False,mean,,,QL6,CSR,0.15,0.26,short-term,1.873032,1.943936,2.152222,2.18458,2.455342
True,mean,False,mean,,,QL6,MSSA,0.15,0.26,short-term,1.963629,2.034533,2.282566,2.377099,2.482859
False,mean,False,lower,,,QL6,GFZ,0.15,0.26,short-term,1.848995,1.920181,2.14129,2.169828,2.43823
False,mean,False,lower,,,QL6,JPL,0.15,0.26,short-term,1.916332,1.987518,2.216772,2.253843,2.525211
False,mean,False,lower,,,QL6,CSR,0.15,0.26,short-term,1.848834,1.92002,2.145859,2.183206,2.45662
False,mean,False,lower,,,QL6,MSSA,0.15,0.26,short-term,1.93827,2.009456,2.278268,2.377681,2.487671
