LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
True,mean,False,lower,,,QL6,JPL,0.2,0.26,short-term,2.49374
True,mean,False,lower,,,QL6,CSR,0.2,0.26,short-term,2.429251
True,mean,False,lower,,,QL6,MSSA,0.2,0.26,short-term,2.457498
False,mean,False,upper,,,QL6,GFZ,0.2,0.26,short-term,2.401647
False,mean,False,upper,,,QL6,JPL,0.2,0.26,short-term,2.487596
False,mean,False,upper,,,QL6,CSR,0.2,0.26,short-term,2.42293
False,mean,False,upper,,,QL6,MSSA,0.2,0.26,short-term,2.446665
True,mean,False,upper,,,QL6,GFZ,0.2,0.26,short-term,2.404681
True,mean,False,upper,,,QL6,JPL,0.2,0.26,short-term,2.491551
True,mean,False,upper,,,QL6,CSR,0.2,0.26,short-term,2.425891
True,mean,False,upper,,,QL6,MSSA,0.2,0.26,short-term,2.449576
False,mean,False,mean,,,QM1,GFZ,0.15,0.26,short-term,2.476382
False,mean,False,mean,,,QM1,JPL,0.15,0.26,short-term,2.564053
False,mean,False,mean,,,QM1,CSR,0.15,0.26,short-term,2.496123
False,mean,False,mean,,,QM1,MSSA,0.15,0.26,short-term,2.518996
True,mean,False,mean,,,QM1,GFZ,0.15,0.26,short-term,2.478619
True,mean,False,mean,,,QM1,JPL,0.15,0.26,short-term,2.565649
True,mean,False,mean,,,QM1,CSR,0.15,0.26,short-term,2.49808
True,mean,False,mean,,,QM1,MSSA,0.15,0.26,short-term,2.520601
False,mean,False,lower,,,QM1,GFZ,0.15,0.26,short-term,2.481898
False,mean,False,lower,,,QM1,JPL,0.15,0.26,short-term,2.569339
False,mean,False,lower,,,QM1,CSR,0.15,0.26,short-term,2.501973
False,mean,False,lower,,,QM1,MSSA,0.15,0.26,short-term,2.527058
True,mean,False,lower,,,QM1,GFZ,0.15,0.26,short-term,2.484167
True,mean,False,lower,,,QM1,JPL,0.15,0.26,short-term,2.571556
True,mean,False,lower,,,QM1,CSR,0.15,0.26,short-term,2.504847
True,mean,False,lower,,,QM1,MSSA,0.15,0.26,short-term,2.529318
False,mean,False,upper,,,QM1,GFZ,0.15,0.26,short-term,2.468298
False,mean,False,upper,,,QM1,JPL,0.15,0.26,short-term,2.557756
False,mean,False,upper,,,QM1,CSR,0.15,0.26,short-term,2.489035
False,mean,False,upper,,,QM1,MSSA,0.15,0.26,short-term,2.510964
True,mean,False,upper,,,QM1,GFZ,0.15,0.26,short-term,2.47011
True,mean,False,upper,,,QM1,JPL,0.15,0.26,short-term,2.558719
True,mean,False,upper,,,QM1,CSR,0.15,0.26,short-term,2.490803
True,mean,False,upper,,,QM1,MSSA,0.15,0.26,short-term,2.510842
False,mean,False,mean,,,QM1,GFZ,0.1,0.26,short-term,2.508771
False,mean,False,mean,,,QM1,JPL,0.1,0.26,short-term,2.601516
False,mean,False,mean,,,QM1,CSR,0.1,0.26,short-term,2.531203
False,mean,False,mean,,,QM1,MSSA,0.1,0.26,short-term,2.554819
True,mean,False,mean,,,QM1,GFZ,0.1,0.26,short-term,2.507385
True,mean,False,mean,,,QM1,JPL,0.1,0.26,short-term,2.600178
True,mean,False,mean,,,QM1,CSR,0.1,0.26,short-term,2.530904
True,mean,False,mean,,,QM1,MSSA,0.1,0.26,short-term,2.55344
False,mean,False,lower,,,QM1,GFZ,0.1,0.26,short-term,2.519161
False,mean,False,lower,,,QM1,JPL,0.1,0.26,short-term,2.611833
False,mean,False,lower,,,QM1,CSR,0.1,0.26,short-term,2.541948
False,mean,False,lower,,,QM1,MSSA,0.1,0.26,short-term,2.567211
True,mean,False,lower,,,QM1,GFZ,0.1,0.26,short-term,2.518247
True,mean,False,lower,,,QM1,JPL,0.1,0.26,short-term,2.611331
True,mean,False,lower,,,QM1,CSR,0.1,0.26,short-term,2.541907
True,mean,False,lower,,,QM1,MSSA,0.1,0.26,short-term,2.565905
False,mean,False,upper,,,QM1,GFZ,0.1,0.26,short-term,2.496699
False,mean,False,upper,,,QM1,JPL,0.1,0.26,short-term,2.590306
False,mean,False,upper,,,QM1,CSR,0.1,0.26,short-term,2.518406
False,mean,False,upper,,,QM1,MSSA,0.1,0.26,short-term,2.54213
True,mean,False,upper,,,QM1,GFZ,0.1,0.26,short-term,2.495484
True,mean,False,upper,,,QM1,JPL,0.1,0.26,short-term,2.589185
True,mean,False,upper,,,QM1,CSR,0.1,0.26,short-term,2.517187
True,mean,False,upper,,,QM1,MSSA,0.1,0.26,short-term,2.54062
False,mean,False,mean,,,QM1,GFZ,0.2,0.26,short-term,2.445881
False,mean,False,mean,,,QM1,JPL,0.2,0.26,short-term,2.533444
False,mean,False,mean,,,QM1,CSR,0.2,0.26,short-term,2.467934
False,mean,False,mean,,,QM1,MSSA,0.2,0.26,short-term,2.491254
True,mean,False,mean,,,QM1,GFZ,0.2,0.26,short-term,2.44945
True,mean,False,mean,,,QM1,JPL,0.2,0.26,short-term,2.538408
True,mean,False,mean,,,QM1,CSR,0.2,0.26,short-term,2.472411
True,mean,False,mean,,,QM1,MSSA,0.2,0.26,short-term,2.495774
False,mean,False,lower,,,QM1,GFZ,0.2,0.26,short-term,2.447953
False,mean,False,lower,,,QM1,JPL,0.2,0.26,short-term,2.535342
False,mean,False,lower,,,QM1,CSR,0.2,0.26,short-term,2.470938
False,mean,False,lower,,,QM1,MSSA,0.2,0.26,short-term,2.493604
True,mean,False,lower,,,QM1,GFZ,0.2,0.26,short-term,2.452311
True,mean,False,lower,,,QM1,JPL,0.2,0.26,short-term,2.540422
True,mean,False,lower,,,QM1,CSR,0.2,0.26,short-term,2.475807
True,mean,False,lower,,,QM1,MSSA,0.2,0.26,short-term,2.499059
False,mean,False,upper,,,QM1,GFZ,0.2,0.26,short-term,2.441388
False,mean,False,upper,,,QM1,JPL,0.2,0.26,short-term,2.530591
False,mean,False,upper,,,QM1,CSR,0.2,0.26,short-term,2.464133
False,mean,False,upper,,,QM1,MSSA,0.2,0.26,short-term,2.487182
