LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
False,mean,True,upper,,,PREM,JPL,0.15,0.26,short-term,2.442957
False,mean,True,upper,,,PREM,CSR,0.15,0.26,short-term,2.376737
False,mean,True,upper,,,PREM,MSSA,0.15,0.26,short-term,2.391013
True,mean,True,upper,,,PREM,GFZ,0.15,0.26,short-term,2.361949
True,mean,True,upper,,,PREM,JPL,0.15,0.26,short-term,2.442632
True,mean,True,upper,,,PREM,CSR,0.15,0.26,short-term,2.376192
True,mean,True,upper,,,PREM,MSSA,0.15,0.26,short-term,2.390088
False,mean,True,mean,,,PREM,GFZ,0.1,0.26,short-term,2.410294
False,mean,True,mean,,,PREM,JPL,0.1,0.26,short-term,2.488602
False,mean,True,mean,,,PREM,CSR,0.1,0.26,short-term,2.428413
False,mean,True,mean,,,PREM,MSSA,0.1,0.26,short-term,2.437667
True,mean,True,mean,,,PREM,GFZ,0.1,0.26,short-term,2.40751
True,mean,True,mean,,,PREM,JPL,0.1,0.26,short-term,2.485713
True,mean,True,mean,,,PREM,CSR,0.1,0.26,short-term,2.42575
False,mean,True,lower,,,PREM,GFZ,0.1,0.26,short-term,2.422705
False,mean,True,lower,,,PREM,JPL,0.1,0.26,short-term,2.500761
False,mean,True,lower,,,PREM,CSR,0.1,0.26,short-term,2.441385
False,mean,True,lower,,,PREM,MSSA,0.1,0.26,short-term,2.446484
True,mean,True,lower,,,PREM,GFZ,0.1,0.26,short-term,2.418772
True,mean,True,lower,,,PREM,JPL,0.1,0.26,short-term,2.497973
True,mean,True,lower,,,PREM,CSR,0.1,0.26,short-term,2.438175
True,mean,True,lower,,,PREM,MSSA,0.1,0.26,short-term,2.444741
False,mean,True,upper,,,PREM,GFZ,0.1,0.26,short-term,2.396072
False,mean,True,upper,,,PREM,JPL,0.1,0.26,short-term,2.475978
False,mean,True,upper,,,PREM,CSR,0.1,0.26,short-term,2.412815
False,mean,True,upper,,,PREM,MSSA,0.1,0.26,short-term,2.427197
True,mean,True,upper,,,PREM,GFZ,0.1,0.26,short-term,2.392888
True,mean,True,upper,,,PREM,JPL,0.1,0.26,short-term,2.472447
True,mean,True,upper,,,PREM,CSR,0.1,0.26,short-term,2.409414
True,mean,True,upper,,,PREM,MSSA,0.1,0.26,short-term,2.423369
False,mean,True,mean,,,PREM,GFZ,0.2,0.26,short-term,2.343879
False,mean,True,mean,,,PREM,JPL,0.2,0.26,short-term,2.421574
False,mean,True,mean,,,PREM,CSR,0.2,0.26,short-term,2.356944
False,mean,True,mean,,,PREM,MSSA,0.2,0.26,short-term,2.37154
True,mean,True,mean,,,PREM,GFZ,0.2,0.26,short-term,2.346875
True,mean,True,mean,,,PREM,JPL,0.2,0.26,short-term,2.425021
True,mean,True,mean,,,PREM,CSR,0.2,0.26,short-term,2.361117
False,mean,True,lower,,,PREM,GFZ,0.2,0.26,short-term,2.348126
False,mean,True,lower,,,PREM,JPL,0.2,0.26,short-term,2.425551
False,mean,True,lower,,,PREM,CSR,0.2,0.26,short-term,2.362085
False,mean,True,lower,,,PREM,MSSA,0.2,0.26,short-term,2.373574
True,mean,True,lower,,,PREM,GFZ,0.2,0.26,short-term,2.351817
True,mean,True,lower,,,PREM,JPL,0.2,0.26,short-term,2.429704
True,mean,True,lower,,,PREM,CSR,0.2,0.26,short-term,2.365357
True,mean,True,lower,,,PREM,MSSA,0.2,0.26,short-term,2.377546
False,mean,True,upper,,,PREM,GFZ,0.2,0.26,short-term,2.337987
False,mean,True,upper,,,PREM,JPL,0.2,0.26,short-term,2.416366
False,mean,True,upper,,,PREM,CSR,0.2,0.26,short-term,2.351714
False,mean,True,upper,,,PREM,MSSA,0.2,0.26,short-term,2.36673
True,mean,True,upper,,,PREM,GFZ,0.2,0.26,short-term,2.340073
True,mean,True,upper,,,PREM,JPL,0.2,0.26,short-term,2.419074
True,mean,True,upper,,,PREM,CSR,0.2,0.26,short-term,2.354743
True,mean,True,upper,,,PREM,MSSA,0.2,0.26,short-term,2.37019
False,mean,True,mean,,,QL6,GFZ,0.15,0.26,short-term,2.321802
False,mean,True,mean,,,QL6,JPL,0.15,0.26,short-term,2.399676
False,mean,True,mean,,,QL6,CSR,0.15,0.26,short-term,2.33563
False,mean,True,mean,,,QL6,MSSA,0.15,0.26,short-term,2.351643
True,mean,True,mean,,,QL6,GFZ,0.15,0.26,short-term,2.322819
True,mean,True,mean,,,QL6,JPL,0.15,0.26,short-term,2.401083
True,mean,True,mean,,,QL6,CSR,0.15,0.26,short-term,2.336413
False,mean,True,lower,,,QL6,GFZ,0.15,0.26,short-term,2.326559
False,mean,True,lower,,,QL6,JPL,0.15,0.26,short-term,2.404707
False,mean,True,lower,,,QL6,CSR,0.15,0.26,short-term,2.340771
False,mean,True,lower,,,QL6,MSSA,0.15,0.26,short-term,2.353925
True,mean,True,lower,,,QL6,GFZ,0.15,0.26,short-term,2.326869
True,mean,True,lower,,,QL6,JPL,0.15,0.26,short-term,2.404982
True,mean,True,lower,,,QL6,CSR,0.15,0.26,short-term,2.341486
True,mean,True,lower,,,QL6,MSSA,0.15,0.26,short-term,2.356704
False,mean,True,upper,,,QL6,GFZ,0.15,0.26,short-term,2.315934
False,mean,True,upper,,,QL6,JPL,0.15,0.26,short-term,2.393756
False,mean,True,upper,,,QL6,CSR,0.15,0.26,short-term,2.329514
False,mean,True,upper,,,QL6,MSSA,0.15,0.26,short-term,2.345328
True,mean,True,upper,,,QL6,GFZ,0.15,0.26,short-term,2.315808
True,mean,True,upper,,,QL6,JPL,0.15,0.26,short-term,2.394541
True,mean,True,upper,,,QL6,CSR,0.15,0.26,short-term,2.329649
True,mean,True,upper,,,QL6,MSSA,0.15,0.26,short-term,2.347047
False,mean,True,mean,,,QL6,GFZ,0.1,0.26,short-term,2.355426
False,mean,True,mean,,,QL6,JPL,0.1,0.26,short-term,2.432246
False,mean,True,mean,,,QL6,CSR,0.1,0.26,short-term,2.369206
False,mean,True,mean,,,QL6,MSSA,0.1,0.26,short-term,2.383665
True,mean,True,mean,,,QL6,GFZ,0.1,0.26,short-term,2.353064
True,mean,True,mean,,,QL6,JPL,0.1,0.26,short-term,2.430187
True,mean,True,mean,,,QL6,CSR,0.1,0.26,short-term,2.368363
False,mean,True,lower,,,QL6,GFZ,0.1,0.26,short-term,2.363515
False,mean,True,lower,,,QL6,JPL,0.1,0.26,short-term,2.439643
False,mean,True,lower,,,QL6,CSR,0.1,0.26,short-term,2.379029
False,mean,True,lower,,,QL6,MSSA,0.1,0.26,short-term,2.390247
True,mean,True,lower,,,QL6,GFZ,0.1,0.26,short-term,2.361197
True,mean,True,lower,,,QL6,JPL,0.1,0.26,short-term,2.437914
True,mean,True,lower,,,QL6,CSR,0.1,0.26,short-term,2.377189
True,mean,True,lower,,,QL6,MSSA,0.1,0.26,short-term,2.389223
False,mean,True,upper,,,QL6,GFZ,0.1,0.26,short-term,2.344247
False,mean,True,upper,,,QL6,JPL,0.1,0.26,short-term,2.424342
False,mean,True,upper,,,QL6,CSR,0.1,0.26,short-term,2.360582
False,mean,True,upper,,,QL6,MSSA,0.1,0.26,short-term,2.375084
True,mean,True,upper,,,QL6,GFZ,0.1,0.26,short-term,2.342419
True,mean,True,upper,,,QL6,JPL,0.1,0.26,short-term,2.421811
True,mean,True,upper,,,QL6,CSR,0.1,0.26,short-term,2.357823
True,mean,True,upper,,,QL6,MSSA,0.1,0.26,short-term,2.37335
False,mean,True,mean,,,QL6,GFZ,0.2,0.26,short-term,2.29794
False,mean,True,mean,,,QL6,JPL,0.2,0.26,short-term,2.376729
False,mean,True,mean,,,QL6,CSR,0.2,0.26,short-term,2.309858
False,mean,True,mean,,,QL6,MSSA,0.2,0.26,short-term,2.326565
True,mean,True,mean,,,QL6,GFZ,0.2,0.26,short-term,2.300731
True,mean,True,mean,,,QL6,JPL,0.2,0.26,short-term,2.379054
True,mean,True,mean,,,QL6,CSR,0.2,0.26,short-term,2.313552
False,mean,True,lower,,,QL6,GFZ,0.2,0.26,short-term,2.299704
False,mean,True,lower,,,QL6,JPL,0.2,0.26,short-term,2.377274
False,mean,True,lower,,,QL6,CSR,0.2,0.26,short-term,2.312508
False,mean,True,lower,,,QL6,MSSA,0.2,0.26,short-term,2.327832
True,mean,True,lower,,,QL6,GFZ,0.2,0.26,short-term,2.302844
True,mean,True,lower,,,QL6,JPL,0.2,0.26,short-term,2.380961
True,mean,True,lower,,,QL6,CSR,0.2,0.26,short-term,2.315233
True,mean,True,lower,,,QL6,MSSA,0.2,0.26,short-term,2.330634
False,mean,True,upper,,,QL6,GFZ,0.2,0.26,short-term,2.293932
False,mean,True,upper,,,QL6,JPL,0.2,0.26,short-term,2.373281
False,mean,True,upper,,,QL6,CSR,0.2,0.26,short-term,2.306026
False,mean,True,upper,,,QL6,MSSA,0.2,0.26,short-term,2.32388
True,mean,True,upper,,,QL6,GFZ,0.2,0.26,short-term,2.296046
True,mean,True,upper,,,QL6,JPL,0.2,0.26,short-term,2.375218
True,mean,True,upper,,,QL6,CSR,0.2,0.26,short-term,2.308302
True,mean,True,upper,,,QL6,MSSA,0.2,0.26,short-term,2.327172
False,mean,True,mean,,,QM1,GFZ,0.15,0.26,short-term,2.370888
False,mean,True,mean,,,QM1,JPL,0.15,0.26,short-term,2.450231
False,mean,True,mean,,,QM1,CSR,0.15,0.26,short-term,2.384777
False,mean,True,mean,,,QM1,MSSA,0.15,0.26,short-term,2.395031
True,mean,True,mean,,,QM1,GFZ,0.15,0.26,short-term,2.371751
True,mean,True,mean,,,QM1,JPL,0.15,0.26,short-term,2.451812
True,mean,True,mean,,,QM1,CSR,0.15,0.26,short-term,2.385566
False,mean,True,lower,,,QM1,GFZ,0.15,0.26,short-term,2.378982
False,mean,True,lower,,,QM1,JPL,0.15,0.26,short-term,2.457059
False,mean,True,lower,,,QM1,CSR,0.15,0.26,short-term,2.393003
False,mean,True,lower,,,QM1,MSSA,0.15,0.26,short-term,2.401741
True,mean,True,lower,,,QM1,GFZ,0.15,0.26,short-term,2.379551
True,mean,True,lower,,,QM1,JPL,0.15,0.26,short-term,2.458839
True,mean,True,lower,,,QM1,CSR,0.15,0.26,short-term,2.393438
True,mean,True,lower,,,QM1,MSSA,0.15,0.26,short-term,2.402575
False,mean,True,upper,,,QM1,GFZ,0.15,0.26,short-term,2.362307
False,mean,True,upper,,,QM1,JPL,0.15,0.26,short-term,2.442187
False,mean,True,upper,,,QM1,CSR,0.15,0.26,short-term,2.376881
False,mean,True,upper,,,QM1,MSSA,0.15,0.26,short-term,2.389166
True,mean,True,upper,,,QM1,GFZ,0.15,0.26,short-term,2.362623
True,mean,True,upper,,,QM1,JPL,0.15,0.26,short-term,2.443246
True,mean,True,upper,,,QM1,CSR,0.15,0.26,short-term,2.376992
True,mean,True,upper,,,QM1,MSSA,0.15,0.26,short-term,2.388603
False,mean,True,mean,,,QM1,GFZ,0.1,0.26,short-term,2.402096
False,mean,True,mean,,,QM1,JPL,0.1,0.26,short-term,2.481136
False,mean,True,mean,,,QM1,CSR,0.1,0.26,short-term,2.418038
False,mean,True,mean,,,QM1,MSSA,0.1,0.26,short-term,2.42859
True,mean,True,mean,,,QM1,GFZ,0.1,0.26,short-term,2.399866
True,mean,True,mean,,,QM1,JPL,0.1,0.26,short-term,2.478959
True,mean,True,mean,,,QM1,CSR,0.1,0.26,short-term,2.416811
False,mean,True,lower,,,QM1,GFZ,0.1,0.26,short-term,2.413333
False,mean,True,lower,,,QM1,JPL,0.1,0.26,short-term,2.492927
False,mean,True,lower,,,QM1,CSR,0.1,0.26,short-term,2.432907
False,mean,True,lower,,,QM1,MSSA,0.1,0.26,short-term,2.438852
True,mean,True,lower,,,QM1,GFZ,0.1,0.26,short-term,2.410753
True,mean,True,lower,,,QM1,JPL,0.1,0.26,short-term,2.490723
True,mean,True,lower,,,QM1,CSR,0.1,0.26,short-term,2.430301
True,mean,True,lower,,,QM1,MSSA,0.1,0.26,short-term,2.436398
False,mean,True,upper,,,QM1,GFZ,0.1,0.26,short-term,2.389146
False,mean,True,upper,,,QM1,JPL,0.1,0.26,short-term,2.467914
False,mean,True,upper,,,QM1,CSR,0.1,0.26,short-term,2.405127
False,mean,True,upper,,,QM1,MSSA,0.1,0.26,short-term,2.416007
True,mean,True,upper,,,QM1,GFZ,0.1,0.26,short-term,2.386229
True,mean,True,upper,,,QM1,JPL,0.1,0.26,short-term,2.466076
True,mean,True,upper,,,QM1,CSR,0.1,0.26,short-term,2.402878
True,mean,True,upper,,,QM1,MSSA,0.1,0.26,short-term,2.413719
False,mean,True,mean,,,QM1,GFZ,0.2,0.26,short-term,2.346481
False,mean,True,mean,,,QM1,JPL,0.2,0.26,short-term,2.423718
False,mean,True,mean,,,QM1,CSR,0.2,0.26,short-term,2.360207
False,mean,True,mean,,,QM1,MSSA,0.2,0.26,short-term,2.37239
True,mean,True,mean,,,QM1,GFZ,0.2,0.26,short-term,2.350117
True,mean,True,mean,,,QM1,JPL,0.2,0.26,short-term,2.427147
True,mean,True,mean,,,QM1,CSR,0.2,0.26,short-term,2.363428
False,mean,True,lower,,,QM1,GFZ,0.2,0.26,short-term,2.350667
False,mean,True,lower,,,QM1,JPL,0.2,0.26,short-term,2.427425
False,mean,True,lower,,,QM1,CSR,0.2,0.26,short-term,2.364266
False,mean,True,lower,,,QM1,MSSA,0.2,0.26,short-term,2.375299
